Symbol,Sector
ABB.NS,Capital Goods
ACC.NS,Cement
APLAPOLLO.NS,Steel
AUBANK.NS,Banking
ADANIENT.NS,Infrastructure
ADANIPORTS.NS,Infrastructure
ALKEM.NS,Pharma
AMBUJACEM.NS,Cement
APOLLOHOSP.NS,Healthcare
ASHOKLEY.NS,Auto
ASIANPAINT.NS,Chemicals
ASTRAL.NS,Building Materials
ATUL.NS,Chemicals
AUROPHARMA.NS,Pharma
AXISBANK.NS,Banking
BAJAJ-AUTO.NS,Auto
BAJFINANCE.NS,Financial Services
BAJAJFINSV.NS,Financial Services
BALKRISIND.NS,Tyres
BALRAMCHIN.NS,Sugar
BANDHANBNK.NS,Banking
BANKBARODA.NS,Banking
BEL.NS,Defence
BERGEPAINT.NS,Chemicals
BHARATFORG.NS,Capital Goods
BHARTIARTL.NS,Telecom
BHEL.NS,Capital Goods
BIOCON.NS,Pharma
BOSCHLTD.NS,Auto Ancillary
BPCL.NS,Oil & Gas
BRITANNIA.NS,Consumer
CGPOWER.NS,Capital Goods
CANBK.NS,Banking
CHAMBLFERT.NS,Chemicals
CHOLAFIN.NS,Financial Services
CIPLA.NS,Pharma
COALINDIA.NS,Mining
COFORGE.NS,IT
COLPAL.NS,Consumer
CONCOR.NS,Logistics
CROMPTON.NS,Consumer Durables
CUMMINSIND.NS,Capital Goods
DABUR.NS,Consumer
DALBHARAT.NS,Cement
DEEPAKNTR.NS,Chemicals
DIVISLAB.NS,Pharma
DIXON.NS,Electronics
DLF.NS,Real Estate
DRREDDY.NS,Pharma
EICHERMOT.NS,Auto
ESCORTS.NS,Capital Goods
EXIDEIND.NS,Batteries
FEDERALBNK.NS,Banking
GAIL.NS,Oil & Gas
GLENMARK.NS,Pharma
GMRINFRA.NS,Infrastructure
GNFC.NS,Chemicals
GODREJCP.NS,Consumer
GODREJPROP.NS,Real Estate
GRANULES.NS,Pharma
GRASIM.NS,Cement
GUJGASLTD.NS,Gas Distribution
HAL.NS,Defence
HAVELLS.NS,Consumer Durables
HCLTECH.NS,IT
HDFCAMC.NS,Financial Services
HDFCBANK.NS,Banking
HDFCLIFE.NS,Insurance
HEROMOTOCO.NS,Auto
HINDALCO.NS,Metals
HINDCOPPER.NS,Metals
HINDPETRO.NS,Oil & Gas
HINDUNILVR.NS,Consumer
ICICIBANK.NS,Banking
ICICIGI.NS,Insurance
ICICIPRULI.NS,Insurance
IDEA.NS,Telecom
IDFCFIRSTB.NS,Banking
IEX.NS,Exchange
IGL.NS,Gas Distribution
INDHOTEL.NS,Hotels
INDIAMART.NS,Internet
INDIGO.NS,Aviation
INDUSINDBK.NS,Banking
INDUSTOWER.NS,Telecom Infrastructure
INFY.NS,IT
IOC.NS,Oil & Gas
IRCTC.NS,Railways
JINDALSTEL.NS,Metals
JKCEMENT.NS,Cement
JSWENERGY.NS,Power
JSWSTEEL.NS,Metals
JUBLFOOD.NS,Consumer
KOTAKBANK.NS,Banking
LALPATHLAB.NS,Healthcare
LAURUSLABS.NS,Pharma
LICHSGFIN.NS,Financial Services
LT.NS,Capital Goods
LTIM.NS,IT
LTTS.NS,IT
LUPIN.NS,Pharma
M&M.NS,Auto
MANAPPURAM.NS,Financial Services
MARICO.NS,Consumer
MARUTI.NS,Auto
MCX.NS,Exchange
METROPOLIS.NS,Healthcare
MGL.NS,Gas Distribution
MOTHERSON.NS,Auto Ancillary
MPHASIS.NS,IT
MRF.NS,Tyres
MUTHOOTFIN.NS,Financial Services
NAUKRI.NS,Internet
NAVINFLUOR.NS,Chemicals
NESTLEIND.NS,Consumer
NMDC.NS,Mining
NTPC.NS,Power
OBEROIRLTY.NS,Real Estate
OFSS.NS,IT
ONGC.NS,Oil & Gas
PAGEIND.NS,Consumer
PEL.NS,Financial Services
PERSISTENT.NS,IT
PETRONET.NS,Oil & Gas
PIDILITIND.NS,Chemicals
PIIND.NS,Chemicals
POLYCAB.NS,Capital Goods
POWERGRID.NS,Power
PVRINOX.NS,Entertainment
RAMCOCEM.NS,Cement
RECLTD.NS,Financial Services
RELIANCE.NS,Oil & Gas
SAIL.NS,Metals
SBICARD.NS,Financial Services
SBILIFE.NS,Insurance
SBIN.NS,Banking
SHREECEM.NS,Cement
SIEMENS.NS,Capital Goods
SRF.NS,Chemicals
SUNPHARMA.NS,Pharma
SYNGENE.NS,Pharma
TATACHEM.NS,Chemicals
TATACOMM.NS,Telecom
TATACONSUM.NS,Consumer
TATAMOTORS.NS,Auto
TATAPOWER.NS,Power
TATASTEEL.NS,Metals
TCS.NS,IT
TECHM.NS,IT
TITAN.NS,Consumer Durables
TORNTPHARM.NS,Pharma
TORNTPOWER.NS,Power
TRENT.NS,Retail
TVSMOTOR.NS,Auto
UBL.NS,Consumer
ULTRACEMCO.NS,Cement
UPL.NS,Chemicals
VEDL.NS,Metals
VOLTAS.NS,Consumer Durables
WIPRO.NS,IT
ZYDUSLIFE.NS,Pharma
